"profile_or_path","type","declared_in","consumed_by","effects_runtime","validation","status","notes"
"configs/runtime/default_runtime.yaml","runtime","`configs/runtime`","runtime nodes, gateway preflight, orchestrator","yes","`validate_runtime_payload`","canonical","Primary runtime control profile."
"configs/providers/whisper_local.yaml","provider","`configs/providers`","`ProviderManager`","yes","provider adapter validation","canonical","Local batch provider."
"configs/providers/vosk_local.yaml","provider","`configs/providers`","`ProviderManager`","yes","provider adapter validation","canonical","Local streaming-capable provider."
"configs/providers/google_cloud.yaml","provider","`configs/providers`","`ProviderManager`","yes","provider adapter validation","canonical","Cloud provider; credentials required."
"configs/providers/aws_cloud.yaml","provider","`configs/providers`","`ProviderManager`","yes","provider adapter validation","canonical","Cloud provider; credentials required."
"configs/providers/azure_cloud.yaml","provider","`configs/providers`","`ProviderManager`","yes","provider adapter validation","canonical","Cloud provider; credentials required."
"configs/benchmark/default_benchmark.yaml","benchmark","`configs/benchmark`","benchmark core, gateway preflight","yes","`validate_benchmark_payload`","canonical","Now truly controls `execution_mode`."
"configs/metrics/default_quality.yaml","metrics","`configs/metrics`","benchmark core","yes","`validate_metric_payload`","canonical","Quality metric selection."
"configs/metrics/default_timing.yaml","metrics","`configs/metrics`","benchmark core","yes","`validate_metric_payload`","canonical","Latency/reliability metric selection."
"configs/deployment/dev_local.yaml","deployment","`configs/deployment`","`resolve_profile`","yes","loader only","active-after-repair","Scoped defaults now applied to runtime/benchmark profiles."
"configs/gui/default_gui.yaml","gui","`configs/gui`","profile browser/editor only","no","generic profile validation only","decorative","Gateway/bootstrap does not consume it."
"configs/default.yaml","legacy-flat-config","repo root config","`asr_ros`, `asr_benchmark.runner`","partial","legacy path only","legacy","Old backend-centric config."
"configs/resolved/*.json","derived snapshots","generated by loader","debugging, traceability","indirect","n/a","derived","Not editable source."
"secrets/refs/*.yaml","secret refs","`secrets/refs`","`ProviderManager`, gateway secret helpers","yes","secret resolution rules","canonical-support","Correctly externalizes secrets."
