path_or_module,previous_status,action_taken,current_status,rationale
scripts/run_benchmark_core.py,missing,added,canonical_wrapper,"operator benchmark path needed a real bridge to BenchmarkOrchestrator"
scripts/run_benchmarks.sh,legacy runner entrypoint,rewired,canonical_benchmark_entrypoint,"`make bench` must not silently use the old benchmark generation"
Makefile report target,legacy flat JSON input,rewired,canonical_summary_input,"report generation should follow the real source of truth"
scripts/generate_report.py,legacy-schema-only,expanded,dual_schema_renderer,"operators still need compatibility while canonical summaries become primary"
ros2_ws/src/asr_gateway/asr_gateway/log_views.py,naive tail merge,rewritten,structured_log_collection,"logs tab needed source metadata and ordering"
ros2_ws/src/asr_gateway/asr_gateway/api.py,/api/logs returned minimal payload,expanded,structured_log_contract,"frontend needed files and entry metadata"
web_ui/frontend/js/pages/logs.js,raw text dump renderer,rewritten,structured_log_view,"logs tab needed actionable operator rendering"
web_ui/frontend/index.html,logs tab missing metadata slot,extended,logs_meta_surface,"UI now shows scanned files and active filters"
web_ui/frontend/styles.css,plain log viewer styling,extended,structured_log_styles,"new log cards need readable dark-panel structure"
tests/unit/test_gateway_log_views.py,coverage gap,expanded,verifies_runtime_fallback_and_ordering,"locks repaired log scan behavior"
tests/api/test_gateway_api.py,coverage gap,expanded,verifies_logs_payload_shape,"locks backend API shape used by GUI"
tests/contract/test_gateway_api_contract.py,coverage gap,expanded,verifies_logs_contract,"prevents future schema drift"
tests/e2e/test_web_ui_flows.py,logs page only weakly checked,expanded,diagnostics_flow_asserts_log_visibility,"protects operator path at browser level"
ros2_ws/src/asr_benchmark/asr_benchmark/runner.py,looked first-class,clarified,legacy_compatibility_only,"reduce architectural ambiguity"
ros2_ws/src/asr_benchmark/asr_benchmark/benchmark_node.py,looked first-class,clarified,legacy_compatibility_only,"same rationale as runner"
docs/gui/gui_backend_contract.md,stale logs endpoint contract,updated,current,"docs must match repaired logs payload"
