module_or_path,role,actually_used,maturity,duplication_level,architectural_quality,keep_remove_refactor_legacy,notes
ros2_ws/src/asr_core,core models and shared utilities,yes,high,low,good,keep,"normalized result, ids, audio helpers"
ros2_ws/src/asr_config,profile loading and validation,yes,high,low,good,keep,"real source of profile-driven behavior"
ros2_ws/src/asr_datasets,dataset import and manifest registry,yes,medium,low,good,keep,"simple and coherent"
ros2_ws/src/asr_provider_base,provider abstraction and preset merge,yes,high,low,good,keep,"central bridge from profiles to adapters"
ros2_ws/src/asr_provider_whisper,local provider adapter,yes,medium,low,good,keep,"main local quality baseline"
ros2_ws/src/asr_provider_vosk,local streaming provider adapter,yes,medium,low,good,keep,"useful low-resource and streaming baseline"
ros2_ws/src/asr_provider_azure,cloud provider adapter,yes,medium,low,medium,keep_refactor,"depends on external auth and endpoint validation"
ros2_ws/src/asr_provider_google,cloud provider adapter,yes,medium,low,medium,keep_refactor,"usable but env/auth dependent"
ros2_ws/src/asr_provider_aws,cloud provider adapter,yes,medium,low,medium,keep_refactor,"SSO/auth complexity is primary risk"
ros2_ws/src/asr_metrics,metric registry and summary logic,yes,high,medium,good,keep,"canonical WER/CER and summary semantics"
ros2_ws/src/asr_storage,artifact persistence,yes,medium,low,good,keep,"clean run-folder persistence"
ros2_ws/src/asr_reporting,export helpers,yes,medium,medium,medium,keep_refactor,"lightweight and useful but thin"
ros2_ws/src/asr_runtime_nodes,canonical runtime ROS2 stack,yes,medium,low,good,keep,"target runtime architecture"
ros2_ws/src/asr_benchmark_core,canonical benchmark orchestration,yes,medium_high,low,good,keep,"target benchmark architecture"
ros2_ws/src/asr_benchmark_nodes,ROS2 benchmark orchestration,yes,medium,low,good,keep,"ROS2-facing benchmark control plane"
ros2_ws/src/asr_gateway,HTTP/operator bridge,yes,medium_high,medium,medium,keep_refactor,"broad but real; now also owns structured logs scan"
ros2_ws/src/asr_launch,canonical launch entrypoints,yes,medium,low,medium,keep_refactor,"keep launch ownership centralized here"
web_ui/frontend,operator UI,yes,medium,medium,medium,keep_refactor,"now has repaired logs tab contract"
scripts/run_benchmark_core.py,canonical benchmark CLI wrapper,yes,new,low,good,keep,"added in this repair"
scripts/generate_report.py,report rendering utility,yes,medium,medium,medium,keep_refactor,"now supports canonical summary schema"
ros2_ws/src/asr_benchmark,legacy flat benchmark flow,limited,low,high,poor,legacy,"kept only for compatibility"
ros2_ws/src/asr_ros,legacy runtime ROS nodes,limited,low,high,poor,legacy,"duplicates runtime responsibilities"
ros2_ws/src/asr_backend_mock,test and smoke backend,no_prod,medium,n/a,acceptable,legacy,"must stay isolated from research claims"
ros2_ws/src/asr_backend_whisper,legacy backend adapter,limited,low,high,poor,legacy,"older backend-centric generation"
ros2_ws/src/asr_backend_vosk,legacy backend adapter,limited,low,high,poor,legacy,"older backend-centric generation"
ros2_ws/src/asr_backend_azure,legacy backend adapter,limited,low,high,poor,legacy,"older backend-centric generation"
ros2_ws/src/asr_backend_google,legacy backend adapter,limited,low,high,poor,legacy,"older backend-centric generation"
ros2_ws/src/asr_backend_aws,legacy backend adapter,limited,low,high,poor,legacy,"older backend-centric generation"
scripts/live_sample_eval.py,specialized eval script,limited,medium,high,medium_poor,legacy,"useful but still on old backend/config semantics"
docs/arch,generated architecture snapshots,partial,low,high,mixed,refactor,"evidence artifacts, not source of truth"
docs/wiki,wide legacy documentation surface,partial,low,high,mixed,refactor,"contains architecture drift"
