metric_name,category,source_of_truth,current_status,issues_found,action_taken,notes
wer,quality,asr_metrics.quality + asr_metrics.summary,canonical,"legacy reports depended on flat runner path","kept corpus aggregation and re-anchored operator flow on canonical summary","summary uses corpus edits/reference word count"
cer,quality,asr_metrics.quality + asr_metrics.summary,canonical,"same as WER","same as WER","spaces removed after normalization"
sample_accuracy,quality,asr_metrics.summary,canonical,"historical artifacts may contain stale values","documented and preserved historical caveat","exact normalized match rate"
total_latency_ms,latency,metric engine + summary,canonical,"operator report path previously anchored on legacy artifacts","canonical report path restored","mean in summary"
per_utterance_latency_ms,latency,metric definitions,compatibility,"alias semantics can confuse new readers","kept for backward compatibility only","should not become new primary metric"
real_time_factor,latency,metric engine + summary,canonical,"none critical","kept","audio duration dependent"
estimated_cost_usd,cost,provider preset pricing + summary,canonical,"users may confuse mean vs total","documented `metric_statistics.sum` usage","top-level mean remains per-sample"
success_rate,reliability,metric engine + summary,canonical,"none critical","kept","rate metric"
failure_rate,reliability,metric engine + summary,canonical,"none critical","kept","rate metric"
first_partial_latency_ms,streaming,metric engine + summary,canonical_streaming_only,"historical batch pollution existed","documented and constrained to streaming applicability","must stay absent from batch comparisons"
finalization_latency_ms,streaming,metric engine + summary,canonical_streaming_only,"same as above","same as above","streaming-only"
partial_count,streaming,metric engine + summary,canonical_streaming_only,"same as above","same as above","streaming-only"
confidence,not_canonical,provider result payload only,missing_from_metric_registry,"documented concept but no canonical benchmark metric","left out intentionally","needs standardized semantics first"
cpu_ram_gpu,not_canonical,legacy flat records and docs only,missing_from_canonical_registry,"decorative in canonical benchmark path","left out intentionally","do not expose as canonical until reproducible"
