profile_or_group,location,read_by,affects_runtime,maturity,status,action,notes
runtime/default_runtime,configs/runtime/default_runtime.yaml,asr_runtime_nodes + gateway,yes,high,canonical,keep,"real runtime control surface"
providers/whisper_local,configs/providers/whisper_local.yaml,ProviderManager + benchmark + runtime,yes,high,canonical,keep,"best local baseline"
providers/vosk_local,configs/providers/vosk_local.yaml,ProviderManager + benchmark + runtime,yes,medium,canonical,keep,"streaming-capable local baseline"
providers/azure_cloud,configs/providers/azure_cloud.yaml,ProviderManager + gateway + runtime + benchmark,yes,medium,canonical,keep_refactor,"auth/env dependent"
providers/google_cloud,configs/providers/google_cloud.yaml,ProviderManager + gateway + runtime + benchmark,yes,medium,canonical,keep_refactor,"auth/env dependent"
providers/aws_cloud,configs/providers/aws_cloud.yaml,ProviderManager + gateway + runtime + benchmark,yes,medium,canonical,keep_refactor,"SSO flow complexity"
benchmark/default_benchmark,configs/benchmark/default_benchmark.yaml,BenchmarkOrchestrator + run_benchmark_core.py,yes,high,canonical,keep,"now used by `make bench`"
benchmark/cloud_comparison,configs/benchmark/cloud_comparison.yaml,BenchmarkOrchestrator,yes,medium,canonical,keep,"comparison-specific benchmark profile"
benchmark/*_subset_whisper,configs/benchmark/*_subset_whisper.yaml,run_external_dataset_suite.py + BenchmarkOrchestrator,yes,medium,canonical,keep,"external subset evaluation profiles"
datasets/sample_dataset,configs/datasets/sample_dataset.yaml,BenchmarkOrchestrator + gateway,yes,high,canonical,keep,"default local dataset profile"
datasets/*_subset,configs/datasets/*.yaml,BenchmarkOrchestrator + suite scripts,yes,medium,canonical,keep,"external evaluation manifests"
metrics/default_quality,configs/metrics/default_quality.yaml,BenchmarkOrchestrator,yes,high,canonical,keep,"quality metrics only"
metrics/default_timing,configs/metrics/default_timing.yaml,BenchmarkOrchestrator,yes,high,canonical,keep_refactor,"contains both timing and cost/reliability/streaming metrics"
deployment/dev_local,configs/deployment/dev_local.yaml,gateway/scripts/docs,limited,low,narrow,keep_refactor,"name suggests broader effect than actual usage"
gui/default_gui,configs/gui/default_gui.yaml,web UI startup helpers,limited,low,narrow,keep_refactor,"mainly static frontend metadata"
configs/default.yaml,configs/default.yaml,legacy runner + legacy runtime tools,yes_legacy,low,legacy,legacy,"flat config path outside canonical profiles"
configs/live_mic_whisper.yaml,configs/live_mic_whisper.yaml,legacy live sample tooling,yes_legacy,low,legacy,legacy,"not part of canonical provider/profile runtime"
configs/web_latest_*.yaml,configs/web_latest_*.yaml,web/demo scripts,limited,low,transitional,refactor,"operator presets rather than core profiles"
