provider,model,language,datasets,total_samples,wer_mean,cer_mean,rtf_mean,latency_p95,success_rate
aws_cloud,standard,de-DE,"mls_german_test_subset,voxpopuli_de_test_subset",20,0.05891422476,0.02855495329,,,
aws_cloud,standard,en-US,"fleurs_en_us_test_subset,librispeech_test_clean_subset,librispeech_test_other_subset,mini_librispeech_dev_clean_2_subset,voxpopuli_en_test_subset",50,0.03682565926,0.0156967564,,,
aws_cloud,standard,es-ES,"mls_spanish_test_subset,voxpopuli_es_test_subset",20,0.05274268238,0.03543456472,,,
aws_cloud,standard,fr-FR,fleurs_fr_fr_test_subset,10,0.04237288136,0.0146460537,,,
aws_cloud,standard,ja-JP,fleurs_ja_jp_test_subset,10,0.9714285714,0.06135986733,,,
aws_cloud,standard,sk-SK,fleurs_sk_sk_test_subset,10,0.08974358974,0.01388888889,,,
azure_cloud,standard,de-DE,"mls_german_test_subset,voxpopuli_de_test_subset",20,0.4180751408,0.3690618152,,,
azure_cloud,standard,en-US,"fleurs_en_us_test_subset,librispeech_test_clean_subset,librispeech_test_other_subset,mini_librispeech_dev_clean_2_subset,voxpopuli_en_test_subset",50,0.05831522713,0.02952266575,,,
azure_cloud,standard,es-ES,"mls_spanish_test_subset,voxpopuli_es_test_subset",20,0.1597336331,0.1507341781,,,
azure_cloud,standard,fr-FR,fleurs_fr_fr_test_subset,10,0.05508474576,0.016273393,,,
azure_cloud,standard,ja-JP,fleurs_ja_jp_test_subset,9,0.96875,0.208566108,,,
azure_cloud,standard,sk-SK,fleurs_sk_sk_test_subset,10,0.08333333333,0.03125,,,
google_cloud,balanced,de-DE,"mls_german_test_subset,voxpopuli_de_test_subset",20,0.1129779645,0.04462634068,,,
google_cloud,balanced,en-US,"fleurs_en_us_test_subset,librispeech_test_clean_subset,librispeech_test_other_subset,mini_librispeech_dev_clean_2_subset,voxpopuli_en_test_subset",50,0.07843232142,0.03363632219,,,
google_cloud,balanced,es-ES,"mls_spanish_test_subset,voxpopuli_es_test_subset",20,0.08889640153,0.05548038373,,,
google_cloud,balanced,fr-FR,fleurs_fr_fr_test_subset,10,0.08474576271,0.0211554109,,,
google_cloud,balanced,ja-JP,fleurs_ja_jp_test_subset,10,1,0.1393034826,,,
google_cloud,balanced,sk-SK,fleurs_sk_sk_test_subset,10,0.1346153846,0.03703703704,,,
huggingface_local,balanced,de-DE,"mls_german_test_subset,voxpopuli_de_test_subset",20,0.1095109511,0.04568042902,,,
huggingface_local,balanced,en-US,"fleurs_en_us_test_subset,librispeech_test_clean_subset,librispeech_test_other_subset,mini_librispeech_dev_clean_2_subset,voxpopuli_en_test_subset",50,0.05163599758,0.02121700698,,,
huggingface_local,balanced,es-ES,"mls_spanish_test_subset,voxpopuli_es_test_subset",19,0.09109129084,0.05367190245,,,
huggingface_local,balanced,fr-FR,fleurs_fr_fr_test_subset,10,0.07203389831,0.03010577705,,,
huggingface_local,balanced,ja-JP,fleurs_ja_jp_test_subset,10,0.9428571429,0.0912106136,,,
huggingface_local,balanced,sk-SK,fleurs_sk_sk_test_subset,10,0.358974359,0.07060185185,,,
vosk_local,en_small,de-DE,"mls_german_test_subset,voxpopuli_de_test_subset",20,1,0.6632008996,,,
vosk_local,en_small,en-US,"fleurs_en_us_test_subset,librispeech_test_clean_subset,librispeech_test_other_subset,mini_librispeech_dev_clean_2_subset,voxpopuli_en_test_subset",50,0.1512446429,0.06709196231,,,
vosk_local,en_small,es-ES,"mls_spanish_test_subset,voxpopuli_es_test_subset",20,1,0.8090446019,,,
vosk_local,en_small,fr-FR,fleurs_fr_fr_test_subset,10,1,0.7160292921,,,
vosk_local,en_small,ja-JP,fleurs_ja_jp_test_subset,10,1,1,,,
vosk_local,en_small,sk-SK,fleurs_sk_sk_test_subset,10,1,0.7962962963,,,
whisper_local,light,de-DE,"mls_german_test_subset,voxpopuli_de_test_subset",20,0.2210054339,0.07840502826,,,
whisper_local,light,en-US,"fleurs_en_us_test_subset,librispeech_test_clean_subset,librispeech_test_other_subset,mini_librispeech_dev_clean_2_subset,voxpopuli_en_test_subset",50,0.1087820802,0.04355984171,,,
whisper_local,light,es-ES,"mls_spanish_test_subset,voxpopuli_es_test_subset",20,0.1817710094,0.07368055556,,,
whisper_local,light,fr-FR,fleurs_fr_fr_test_subset,10,0.2711864407,0.1008950366,,,
whisper_local,light,ja-JP,fleurs_ja_jp_test_subset,10,1,0.3698175788,,,
whisper_local,light,sk-SK,fleurs_sk_sk_test_subset,10,0.7692307692,0.1956018519,,,
